,Date,Close,High,Low,Open,Volume,Ticker
0,2014-01-02,147.30967712402344,148.07308433524554,146.65663730519125,147.94431769928704,847000,MCK
1,2014-01-03,147.8155059814453,149.09397934658304,147.26364111878604,147.39240771547236,2156200,MCK
2,2014-01-06,147.40162658691406,153.1777532982669,147.07971705508126,152.78226083599858,2017900,MCK
3,2014-01-07,148.84564208984375,150.23448284482794,147.22685997601744,147.84310113357358,2215400,MCK
4,2014-01-08,156.18536376953125,159.19300062345678,152.3131592095429,152.68105976384595,5450100,MCK
5,2014-01-09,161.26246643066406,162.79847293751573,160.22312705589678,161.36364118426536,3846400,MCK
6,2014-01-10,161.36367797851562,161.7499778436669,160.33354500477884,161.53843568681222,1180800,MCK
7,2014-01-13,153.72959899902344,161.29926483352392,147.35563107390448,160.98654794423393,6215100,MCK
8,2014-01-14,154.0331268310547,155.4403668997534,151.17265561252506,154.0607186728325,4454600,MCK
9,2014-01-15,153.89520263671875,154.64021060324058,152.5063474568717,154.1619285127595,3290400,MCK
10,2014-01-16,155.03564453125,155.51392644100122,153.8307541730833,154.01470443544753,1392200,MCK
11,2014-01-17,154.63096618652344,155.51394721211386,153.83077471938424,155.32079028840408,1683900,MCK
12,2014-01-21,155.0264892578125,156.36014652420545,154.15271477531428,155.17365511694092,1488900,MCK
13,2014-01-22,156.06576538085938,156.71880490236006,153.86752693139186,155.07243123259747,1263000,MCK
14,2014-01-23,158.53997802734375,160.3151327770515,157.18792159158184,160.16796692572183,3465300,MCK
15,2014-01-24,159.7816619873047,163.25837441547648,158.68713880908254,162.03508463008157,4559200,MCK
16,2014-01-27,159.10105895996094,161.17973832088052,157.98815037752198,159.46897364240738,2539500,MCK
17,2014-01-28,161.1981658935547,161.5568740316431,158.6596170728146,158.68720892693574,1689400,MCK
18,2014-01-29,159.37696838378906,160.95896620294437,158.83431009458678,159.6896852927014,1672400,MCK
19,2014-01-30,163.00999450683594,163.23993582382022,161.01410555955286,161.53837849883905,2401300,MCK
20,2014-01-31,160.4163055419922,162.79849483829324,159.7172747741608,161.87872933073226,2700000,MCK
21,2014-02-03,157.27993774414062,160.84863322025592,156.27739648001912,160.67387548835177,2129000,MCK
22,2014-02-04,155.8450927734375,157.50986634151087,155.26563592738614,157.27992493079333,1633100,MCK
23,2014-02-05,155.0908203125,155.6242858703569,153.61920425398523,155.06322847627504,1320200,MCK
24,2014-02-06,158.5675811767578,159.1930290722523,154.53901745953567,155.48637488894596,2078200,MCK
25,2014-02-07,160.94972229003906,160.9589148898972,158.0708526355386,158.42956051305595,1435800,MCK
26,2014-02-10,158.9078826904297,160.94976313743,158.08929199119132,160.5174722478259,1775900,MCK
27,2014-02-11,161.0049591064453,161.19810200874826,157.79497234887864,158.65036159117355,1617900,MCK
28,2014-02-12,160.91299438476562,162.2190598970358,159.8000858302476,160.60027743841425,1073200,MCK
29,2014-02-13,161.5751953125,161.74076039184854,160.10357900960528,160.49907141750913,1094300,MCK
30,2014-02-14,161.51084899902344,162.1822739740943,160.96817661527174,161.56603269087728,1013900,MCK
31,2014-02-18,163.23997497558594,164.63802244782175,161.63038537064915,162.5317656542592,1649700,MCK
32,2014-02-19,163.405517578125,165.00590032589125,162.20062719944858,163.71823443291774,1671600,MCK
33,2014-02-20,163.33192443847656,164.27928157924228,161.87869357339304,163.20315785724156,1225900,MCK
34,2014-02-21,162.2006072998047,164.02173856344265,162.03504225701727,163.37790569594475,2244200,MCK
35,2014-02-24,162.17308044433594,163.81945472478304,162.14547456405705,162.2926404311667,2109300,MCK
36,2014-02-25,162.55018615722656,163.6907006630977,162.16388625229698,162.30185952624294,1234400,MCK
37,2014-02-26,160.75660705566406,163.05602072110668,160.3151235615611,162.50415582759757,1013800,MCK
38,2014-02-27,160.6552734375,161.2815812128556,159.77109241250903,160.9776395937012,1587500,MCK
39,2014-02-28,163.06842041015625,164.27496787662872,160.41584860039197,160.95004787062547,1683400,MCK
40,2014-03-03,162.14743041992188,163.00398208179797,161.10666140581318,161.49349254864214,1097300,MCK
41,2014-03-04,166.52224731445312,167.047227171116,163.6946781204726,163.96178472349052,1688100,MCK
42,2014-03-05,167.5906982421875,168.1248835083484,165.41706592988078,167.3696458861905,1342300,MCK
43,2014-03-06,168.1616668701172,169.51558215708977,167.26826660446036,167.8945602876243,1479500,MCK
44,2014-03-07,167.9958953857422,169.01823942441885,167.10249500717768,168.53009456443678,1191600,MCK
45,2014-03-10,166.2459259033203,168.1524648741868,165.00252970025056,167.94983713659315,1492300,MCK
