,Date,Close,High,Low,Open,Volume,Ticker
0,2014-01-02,18.79692840576172,19.154284469469776,18.732604205237852,19.154284469469776,2218200,CMS
1,2014-01-03,18.78978729248047,18.86125743294738,18.64684428513555,18.832669649401723,1789800,CMS
2,2014-01-06,18.66827964782715,18.7683389002203,18.54677854283329,18.70401470562325,3154300,CMS
3,2014-01-07,18.79692840576172,18.82551754519686,18.653986798201615,18.682574574431555,2307700,CMS
4,2014-01-08,18.75404930114746,18.79693165450649,18.603960382788134,18.79693165450649,3314900,CMS
5,2014-01-09,18.961320877075195,19.018497815796337,18.696876683486348,18.82552513641034,2663800,CMS
6,2014-01-10,19.375852584838867,19.447322730528917,19.061378763621192,19.061378763621192,3555200,CMS
7,2014-01-13,19.104257583618164,19.43302591833466,19.039933373852012,19.340112565025596,2819500,CMS
8,2014-01-14,19.061376571655273,19.204319573008913,19.02564150291961,19.125700785943863,1930100,CMS
9,2014-01-15,18.8826961517334,19.097109263876007,18.796930088953165,19.054226914088552,2485300,CMS
10,2014-01-16,19.02564239501953,19.03278831853734,18.839817029828765,18.91128717065128,2154700,CMS
11,2014-01-17,18.88984489440918,19.07567024209663,18.88984489440918,19.03278652579577,2092200,CMS
12,2014-01-21,19.097110748291016,19.104258034345367,18.911285400494094,18.98990418388656,2301600,CMS
13,2014-01-22,19.247201919555664,19.26149649232576,19.061376563160938,19.08996434549563,1550000,CMS
14,2014-01-23,19.232906341552734,19.268641408404736,19.03993370885893,19.19002398868925,1713600,CMS
15,2014-01-24,18.968461990356445,19.26863979852666,18.968461990356445,19.18287509996526,3368600,CMS
16,2014-01-27,18.968461990356445,19.054226688917847,18.932725563284773,18.997049768808477,2507800,CMS
17,2014-01-28,19.268640518188477,19.27578780386975,18.968462698806963,18.98990319264544,3192100,CMS
18,2014-01-29,19.139995574951172,19.261496718512756,19.06852407346691,19.175730644090542,2643000,CMS
19,2014-01-30,19.461612701416016,19.604555685395063,19.054226969242652,19.08996203363475,2611700,CMS
20,2014-01-31,19.86185646057129,19.876149671246967,19.311527634992476,19.35440999343071,4178100,CMS
21,2014-02-03,19.5974063873291,19.96190973215838,19.5473767570358,19.83326133242979,3842600,CMS
22,2014-02-04,19.49020004272461,19.704613135677462,19.340109787093457,19.704613135677462,3305600,CMS
